Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 78.0.3904.108,,2019-12-05 18:02:30,2019-12-05 18:02:39,8.511s,PASSED
,,,,,,
Test Cases/Test1,Chrome 78.0.3904.108,,2019-12-05 18:02:30,2019-12-05 18:02:38,7.567s,PASSED
"openBrowser(""https://investor-web.hdfcfund.com/"")",Chrome 78.0.3904.108,,2019-12-05 18:02:31,2019-12-05 18:02:38,7.055s,PASSED
