Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 70.0,,2019-12-05 17:46:59,2019-12-05 17:47:12,12.917s,PASSED
,,,,,,
Test Cases/Test1,Firefox 70.0,,2019-12-05 17:46:59,2019-12-05 17:47:10,10.914s,PASSED
"openBrowser(""https://investor-web.hdfcfund.com/"")",Firefox 70.0,,2019-12-05 17:46:59,2019-12-05 17:47:10,10.649s,PASSED
